PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,SessionID,PlayerID,DateTime,
6,0,-35,1.451617,56.11481,-5.912681E-08,79870,97833,21/12/2020 13:08:32,
6.180072,-0.02053094,-34.00846,7.515655,9.613484,0,79870,97833,21/12/2020 13:08:34,
6.289827,-0.02018529,-32.95705,8.685748,0.320262,-6.477591E-07,79870,97833,21/12/2020 13:08:34,
6.266069,-0.01993287,-31.89863,10.33971,357.9276,-4.339335E-07,79870,97833,21/12/2020 13:08:35,
6.227098,-0.0196923,-30.84458,10.7118,357.8606,-8.689149E-07,79870,97833,21/12/2020 13:08:35,
6.187308,-0.01944965,-29.78007,10.79,357.8587,0,79870,97833,21/12/2020 13:08:35,
6.147544,-0.0192073,-28.71657,10.80641,357.8587,-4.345938E-07,79870,97833,21/12/2020 13:08:35,
6.107889,-0.01896554,-27.65601,10.80985,357.8587,4.345987E-07,79870,97833,21/12/2020 13:08:35,
6.068415,-0.01872498,-26.60028,10.81057,357.8587,4.345998E-07,79870,97833,21/12/2020 13:08:35,
6.028836,-0.0184837,-25.54175,10.81072,357.8587,0,79870,97833,21/12/2020 13:08:35,
5.98904,-0.01824117,-24.47744,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:36,
5.949314,-0.01799899,-23.41498,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:36,
5.909728,-0.01775777,-22.35626,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:36,
5.870353,-0.01751769,-21.30319,10.81076,357.8587,-4.346001E-07,79870,97833,21/12/2020 13:08:36,
5.830559,-0.01727504,-20.23891,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:36,
5.790785,-0.01703262,-19.17516,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:36,
5.751111,-0.01679081,-18.11407,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:36,
5.711607,-0.01655006,-17.05755,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:37,
5.672087,-0.01630914,-16.00062,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:37,
5.632288,-0.01606661,-14.93622,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:37,
5.592549,-0.01582438,-13.87339,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:37,
5.552939,-0.0155828,-12.81404,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:37,
5.637666,-0.01525843,-11.7757,10.81076,357.8587,-4.346001E-07,79870,97833,21/12/2020 13:08:37,
6.32309,-0.01456583,-10.96765,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:37,
6.553114,-0.01414543,-9.958001,10.81076,357.8587,0,79870,97833,21/12/2020 13:08:38,
6.513421,-0.01390344,-8.896431,10.81077,357.8587,0,79870,97833,21/12/2020 13:08:38,
6.478886,-0.01365888,-7.839012,10.81076,359.9688,0,79870,97833,21/12/2020 13:08:38,
6.518907,-0.01336193,-6.783841,10.81076,4.69678,-4.346001E-07,79870,97833,21/12/2020 13:08:38,
6.664649,-0.01299006,-5.729443,11.04894,12.74876,0,79870,97833,21/12/2020 13:08:38,
6.951756,-0.0125255,-4.70563,11.20755,19.62243,-2.17593E-07,79870,97833,21/12/2020 13:08:38,
7.294755,0.5636958,-3.835966,11.23864,24.08805,-2.176164E-07,79870,97833,21/12/2020 13:08:38,
7.64184,1.359696,-3.115379,11.29486,28.68711,-4.35318E-07,79870,97833,21/12/2020 13:08:38,
8.148238,1.947696,-2.300656,11.52957,36.60917,-6.535171E-07,79870,97833,21/12/2020 13:08:39,
8.869463,2.083696,-1.444881,11.9164,44.56371,2.181445E-07,79870,97833,21/12/2020 13:08:39,
9.70236,1.775697,-0.6972061,12.93368,51.15397,-3.83249E-07,79870,97833,21/12/2020 13:08:39,
10.45578,1.199697,-0.102295,13.40742,52.34417,7.954105E-07,79870,97833,21/12/2020 13:08:39,
11.06617,0.499697,0.3670952,13.67961,52.59201,1.372968E-07,79870,97833,21/12/2020 13:08:39,
12.06844,0.791,0.6434174,13.95084,71.60969,1.319584E-06,79870,97833,21/12/2020 13:08:40,
12.82749,1.656739,0.908428,13.95084,71.60969,8.797229E-07,79870,97833,21/12/2020 13:08:40,
13.73846,2.076739,1.211297,6.655697,71.60968,-1.611687E-07,79870,97833,21/12/2020 13:08:41,
14.80139,2.040739,1.564247,7.241275,72.09467,1.075797E-07,79870,97833,21/12/2020 13:08:41,
15.72468,1.680739,1.825845,10.23291,77.39928,4.337867E-07,79870,97833,21/12/2020 13:08:41,
16.59346,1.03274,1.51953,13.28838,82.98208,-8.772619E-07,79870,97833,21/12/2020 13:08:41,
17.25131,0.2727396,1.096551,13.88536,84.94447,1.099342E-06,79870,97833,21/12/2020 13:08:41,
18.21449,-0.01731431,1.167038,13.95084,86.17032,1.099654E-06,79870,97833,21/12/2020 13:08:41,
19.25687,-0.01731431,1.236776,13.95084,86.173,-2.199307E-06,79870,97833,21/12/2020 13:08:41,
20.38273,-0.01731431,1.32338,15.33435,84.74733,0,79870,97833,21/12/2020 13:08:42,
21.44285,-0.01731431,1.42225,15.94622,84.63501,1.331912E-06,79870,97833,21/12/2020 13:08:42,
22.50054,-0.01731431,1.521619,16.07478,84.63184,-4.442567E-07,79870,97833,21/12/2020 13:08:42,
23.55495,-0.01731431,1.608335,15.87926,87.01431,-1.331469E-06,79870,97833,21/12/2020 13:08:42,
24.61005,-0.01731431,1.654129,15.65598,88.79759,4.433348E-07,79870,97833,21/12/2020 13:08:42,
25.67398,0.004584134,1.648877,15.59057,91.14787,8.863866E-07,79870,97833,21/12/2020 13:08:42,
26.7351,0.05025327,1.624138,15.57684,91.66431,-4.431637E-07,79870,97833,21/12/2020 13:08:42,
27.79422,0.07197207,1.582471,15.33949,93.71653,4.426563E-07,79870,97833,21/12/2020 13:08:43,
28.80324,0.1268851,1.510071,15.09958,94.36009,4.421523E-07,79870,97833,21/12/2020 13:08:43,
29.7743,0.2079182,1.283637,15.09887,94.3601,-8.843018E-07,79870,97833,21/12/2020 13:08:43,
29.2659,0.1937672,0.3596843,18.15419,205.7997,8.984997E-07,79870,97833,21/12/2020 13:08:44,
30.24078,0.2922846,0.1157145,12.87522,82.6218,-1.31369E-06,79870,97833,21/12/2020 13:08:46,
31.23975,0.3093371,-0.1380392,12.90424,82.67091,-2.189737E-07,79870,97833,21/12/2020 13:08:46,
32.16123,0.3231465,0.2719595,13.67395,48.56229,-8.786783E-07,79870,97833,21/12/2020 13:08:47,
32.9594,0.3056363,0.9764434,13.67583,48.55518,5.491782E-08,79870,97833,21/12/2020 13:08:47,
33.93462,0.308851,1.29133,13.67622,48.55497,6.040971E-07,79870,97833,21/12/2020 13:08:47,
34.88675,0.4010656,1.737772,13.67633,48.55496,-3.844256E-07,79870,97833,21/12/2020 13:08:47,
35.70679,0.5185605,2.521242,14.28454,46.05666,3.303797E-07,79870,97833,21/12/2020 13:08:48,
36.38595,0.7114135,3.247577,14.48011,39.39148,0,79870,97833,21/12/2020 13:08:48,
36.67446,0.7999823,4.212904,13.66249,338.6851,4.393177E-07,79870,97833,21/12/2020 13:08:48,
35.97003,0.5774257,5.058291,11.26028,282.2078,-4.352655E-07,79870,97833,21/12/2020 13:08:48,
34.93298,0.4578607,5.157136,9.956618,276.8743,-4.334145E-07,79870,97833,21/12/2020 13:08:48,
33.8758,0.446412,5.28363,9.685402,276.7249,0,79870,97833,21/12/2020 13:08:48,
32.83129,0.5051278,5.451132,9.323693,284.3607,-6.48903E-07,79870,97833,21/12/2020 13:08:49,
31.89069,0.6222817,5.862483,8.699717,294.7708,4.318554E-07,79870,97833,21/12/2020 13:08:49,
31.49528,0.6796581,6.819883,8.405124,301.618,-8.630434E-07,79870,97833,21/12/2020 13:08:49,
30.79468,0.6375412,7.581419,8.482391,305.9586,0,79870,97833,21/12/2020 13:08:49,
29.95113,0.5468949,8.205075,8.554562,306.255,0,79870,97833,21/12/2020 13:08:49,
29.09521,0.5749266,8.826355,8.569706,307.0153,-8.634132E-07,79870,97833,21/12/2020 13:08:49,
28.52631,0.4758638,9.655532,8.572884,308.5534,4.317103E-07,79870,97833,21/12/2020 13:08:49,
28.1364,0.3546919,10.57075,8.573725,308.6103,4.317112E-07,79870,97833,21/12/2020 13:08:50,
27.30629,0.3259766,11.23681,8.573722,308.6603,0,79870,97833,21/12/2020 13:08:50,
26.94837,0.314303,12.19736,8.734256,314.0446,-4.318954E-07,79870,97833,21/12/2020 13:08:50,
27.02414,0.2650106,13.23588,8.944415,325.6826,0,79870,97833,21/12/2020 13:08:50,
27.19153,0.3846714,14.25154,8.877447,335.5504,4.320626E-07,79870,97833,21/12/2020 13:08:51,
