EnemyPos X,EnemyPos Y,EnemyPos Z,Enemy Type,PlayerID,DateTime,
31.9244,0.3644159,1.012534,2,34502,21/12/2020 0:01:59,
31.00511,0.4062287,2.084867,2,34502,21/12/2020 0:02:01,
30.82739,0.4507629,1.133758,2,34502,21/12/2020 0:02:01,
27.18798,0.4341096,14.57863,2,34502,21/12/2020 0:02:08,
26.90487,0.4394653,13.52673,2,34502,21/12/2020 0:02:08,
45.9825,0.7330672,-26.16698,2,34502,21/12/2020 0:03:09,
48.06934,0.4426981,-25.27387,2,34502,21/12/2020 0:03:09,
50.05387,0.1807692,-26.3777,2,34502,21/12/2020 0:03:09,
56.94636,4.084685,-30.75826,2,34502,21/12/2020 0:03:36,
55.86372,3.989,-32.23989,2,34502,21/12/2020 0:03:36,
57.49,4.032625,-37.59,1,34502,21/12/2020 0:03:38,
57.22172,3.989,-33.22674,2,34502,21/12/2020 0:03:40,
-25.67925,0.9889999,25.84586,2,80445,21/12/2020 0:20:23,
-26,0.9889998,34,2,80445,21/12/2020 0:20:25,
-15.7445,1.095285,35.74706,1,80445,21/12/2020 0:20:27,
32,0.3644159,1,2,80445,21/12/2020 0:20:40,
31.18624,0.3882631,-0.5838561,2,80445,21/12/2020 0:20:41,
32.96861,0.445833,0.8274971,2,80445,21/12/2020 0:20:41,
33.89809,0.4391451,1.927904,2,80445,21/12/2020 0:20:42,
34.72185,0.527897,1.341983,2,80445,21/12/2020 0:20:43,
27.82532,0.4972174,12.38228,2,80445,21/12/2020 0:20:45,
23.15808,0.5759702,24.72251,2,80445,21/12/2020 0:20:50,
33.38484,1.051301,-26.61062,2,80445,21/12/2020 0:21:47,
36.5611,0.5410119,-23.23482,2,80445,21/12/2020 0:21:48,
45,0.7312063,-24,1,80445,21/12/2020 0:21:53,
40.91591,0.7590336,-23.61407,2,80445,21/12/2020 0:21:54,
56.95902,3.989,-32.37233,2,80445,21/12/2020 0:22:00,
59.28923,3.989,-35.19338,2,80445,21/12/2020 0:22:01,
56.95687,3.989,-34.74942,2,80445,21/12/2020 0:22:01,
57.49,4.030957,-37.59,1,80445,21/12/2020 0:22:02,
-25.75862,0.9889998,33.75399,2,62638,21/12/2020 0:28:43,
31.64058,0.3644159,0.9669777,2,62638,21/12/2020 0:29:02,
29.95224,0.323506,1.836034,2,62638,21/12/2020 0:29:05,
29.94793,0.2914519,1.378097,2,62638,21/12/2020 0:29:05,
34.01973,0.4598906,1.814124,2,62638,21/12/2020 0:29:05,
31.78682,0.5038695,1.30901,2,62638,21/12/2020 0:29:05,
28.36709,0.4749594,12.30622,2,62638,21/12/2020 0:29:25,
28.97128,0.3718989,21.81476,2,62638,21/12/2020 0:29:31,
46.02882,0.5789332,-14.50072,2,62638,21/12/2020 0:30:40,
45.23746,0.7738591,-15.48034,2,62638,21/12/2020 0:30:41,
42.4466,0.4643376,-15.27643,2,62638,21/12/2020 0:30:43,
51.02793,0.4615286,-27.01396,1,62638,21/12/2020 0:30:48,
57.88808,3.989,-33.7745,2,62638,21/12/2020 0:30:54,
57.49,3.988961,-37.59,1,62638,21/12/2020 0:30:57,
58.71152,3.989,-36.41751,2,62638,21/12/2020 0:30:59,
56.76217,3.989,-36.25863,2,62638,21/12/2020 0:30:59,
31.44193,0.3688724,1.057989,2,31512,21/12/2020 0:33:02,
29.99006,0.3169391,-0.9164319,2,31512,21/12/2020 0:33:02,
32.8195,0.4568945,-0.8692684,2,31512,21/12/2020 0:33:03,
33.16058,0.4125545,1.729344,2,31512,21/12/2020 0:33:04,
35.82821,0.7091443,2.871601,2,31512,21/12/2020 0:33:04,
28.40139,0.5286006,11.70677,2,31512,21/12/2020 0:33:07,
57.95271,3.989,-33.64375,2,31512,21/12/2020 0:33:58,
59,3.989,-36,2,31512,21/12/2020 0:33:58,
57.46902,3.989,-37.64216,1,31512,21/12/2020 0:33:59,
57.04363,3.989,-34.23447,2,31512,21/12/2020 0:34:01,
56.18674,3.989,-35.85555,2,31512,21/12/2020 0:34:01,
58.70529,3.989,-36.02634,2,31512,21/12/2020 0:34:01,
