PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,PlayerID,DateTime,
6,-0.02091116,-35,4.123554,310,359.994,51756,21/12/2020 0:01:08,
6,-0.02091116,-35,1.451617,310,-5.337798E-08,34502,21/12/2020 0:01:33,
6,-0.02091116,-35,1.451623,310,6.347295E-08,34502,21/12/2020 0:01:34,
6,-0.02091116,-35,1.540001,310,-5.337531E-08,34502,21/12/2020 0:01:34,
6,-0.02091116,-35,2.204386,310,-1.3809E-07,34502,21/12/2020 0:01:34,
6,-0.02091116,-35,2.53965,310,1.0015E-07,34502,21/12/2020 0:01:34,
6,-0.02091116,-35,359.38,310,-3.335248E-09,34502,21/12/2020 0:01:35,
6,-0.02091116,-35,2.515244,310,-1.068246E-07,34502,21/12/2020 0:01:35,
6,-0.02091116,-35,25.90516,310,2.847436E-06,34502,21/12/2020 0:01:35,
6,-0.02091116,-35,29.67431,310,0,34502,21/12/2020 0:01:36,
6,-0.02091116,-35,22.73999,310,-3.702929E-06,34502,21/12/2020 0:01:36,
5.946394,-0.02093297,-34.93575,16.87589,320.1925,-8.921953E-07,34502,21/12/2020 0:01:36,
5.025368,-0.02130538,-33.82745,16.54434,320.5945,-8.906467E-07,34502,21/12/2020 0:01:37,
5.096417,-0.02072459,-31.7443,16.8002,24.18715,2.229597E-07,34502,21/12/2020 0:01:37,
4.736494,-0.02048737,-29.80673,16.83704,296.3907,-1.338018E-06,34502,21/12/2020 0:01:37,
3.637438,-0.02062738,-27.90855,16.61063,339.9909,-2.227384E-07,34502,21/12/2020 0:01:37,
2.708663,-0.02092618,-25.86934,16.4758,309.2188,2.225827E-07,34502,21/12/2020 0:01:38,
0.7781621,-0.02199215,-24.66785,15.63133,303.7209,3.32461E-07,34502,21/12/2020 0:01:38,
-0.6258137,-0.02257812,-23.05037,15.49171,0.6122164,-4.429806E-07,34502,21/12/2020 0:01:38,
0.2271656,-0.02144915,-20.99589,15.4868,355.414,-1.771881E-06,34502,21/12/2020 0:01:39,
-0.5193348,-0.02143466,-18.85462,15.48662,342.3156,0,34502,21/12/2020 0:01:39,
-0.4166447,-0.02079374,-16.62273,15.69061,18.66321,-8.8682E-07,34502,21/12/2020 0:01:39,
0.9373776,-0.0193786,-14.84247,14.60553,46,4.411424E-07,34502,21/12/2020 0:01:40,
2.576921,-0.01781052,-13.25833,14.52924,45.13825,4.409898E-07,34502,21/12/2020 0:01:40,
3.147365,-0.01688373,-11.20903,14.91803,355.4854,1.325331E-06,34502,21/12/2020 0:01:40,
4.271976,-0.01560211,-9.313377,14.93508,40.48014,4.418119E-07,34502,21/12/2020 0:01:40,
5.690201,-0.01414716,-7.555731,14.93567,24.48015,0,34502,21/12/2020 0:01:41,
6.032258,-0.01335013,-5.378689,14.93568,40.48014,-8.836263E-07,34502,21/12/2020 0:01:41,
7.504667,-0.0118649,-3.653508,14.93568,40.48014,0,34502,21/12/2020 0:01:41,
9.056392,1.948234,-1.835396,14.93569,40.48014,4.418131E-07,34502,21/12/2020 0:01:42,
10.02368,1.700234,-0.7020562,14.93569,40.48014,4.418131E-07,34502,21/12/2020 0:01:42,
10.03666,-0.009310901,-0.6868436,14.93569,40.48014,-1.325439E-06,34502,21/12/2020 0:01:42,
10.03666,-0.009310901,-0.6868436,14.93569,40.48014,-1.325439E-06,34502,21/12/2020 0:01:43,
10.3847,-0.008959889,-0.2790561,14.93569,40.48014,-1.325439E-06,34502,21/12/2020 0:01:43,
10.95336,0.03899997,0.3872252,16.10721,40.48014,8.886587E-07,34502,21/12/2020 0:01:43,
10.95336,0.03899986,0.3872252,22.87246,40.48014,9.266326E-07,34502,21/12/2020 0:01:43,
10.95336,0.03899986,0.3872252,24.76972,40.48014,9.402804E-07,34502,21/12/2020 0:01:44,
11.62851,0.03899997,0.2071039,24.61736,115.1641,-2.817394E-06,34502,21/12/2020 0:01:44,
13.74211,-0.01606375,0.1983165,24.51365,69.86937,-2.815064E-06,34502,21/12/2020 0:01:44,
14.89444,-0.01731431,2.04494,24.13986,18.63197,1.871182E-06,34502,21/12/2020 0:01:45,
15.3781,-0.9375448,4.156475,25.92016,11.22433,-9.492658E-07,34502,21/12/2020 0:01:45,
15.3781,-1.785545,4.156475,25.87987,11.22433,-1.897884E-06,34502,21/12/2020 0:01:45,
15.3781,-2.017314,4.156475,25.42794,11.22433,-9.453539E-07,34502,21/12/2020 0:01:46,
15.3781,-2.017314,4.156475,24.3284,11.22433,-9.369781E-07,34502,21/12/2020 0:01:46,
15.3781,-2.017314,4.156475,23.95438,11.22433,-9.342407E-07,34502,21/12/2020 0:01:46,
15.3781,-2.017314,4.156475,23.94178,11.22433,-9.341495E-07,34502,21/12/2020 0:01:46,
15.3781,-2.017314,4.156475,23.94134,11.22433,-2.802439E-06,34502,21/12/2020 0:01:47,
15.3781,-2.017314,4.156475,23.69644,11.22433,9.323853E-07,34502,21/12/2020 0:01:47,
15.3781,-2.017314,4.156475,21.77246,11.22433,-2.298391E-07,34502,21/12/2020 0:01:47,
5.4,0.3199999,-35.09,21.73119,90,0,34502,21/12/2020 0:01:48,
5.4,-0.02136046,-35.09,22.92827,90,4.635069E-07,34502,21/12/2020 0:01:48,
5.4,-0.02136046,-35.09,24.79851,90,4.702492E-07,34502,21/12/2020 0:01:48,
5.4,-0.02136046,-35.09,24.42276,90,0,34502,21/12/2020 0:01:49,
5.4,-0.02136046,-35.09,26.68863,90,-2.388951E-07,34502,21/12/2020 0:01:49,
5.4,-0.02136046,-35.09,26.60098,90,0,34502,21/12/2020 0:01:49,
5.446084,-0.02131528,-35.04117,25.67582,33.99998,-7.104834E-07,34502,21/12/2020 0:01:49,
5.768043,-0.02062547,-33.22952,25.63641,9.749033,0,34502,21/12/2020 0:01:50,
5.943696,-0.01993459,-31.00527,25.63503,337.7835,1.420481E-06,34502,21/12/2020 0:01:50,
5.030613,-0.02007425,-29.00473,24.29078,9.265729,7.025252E-07,34502,21/12/2020 0:01:50,
6.170132,-0.01880455,-27.19666,24.13545,54.26529,-2.338898E-07,34502,21/12/2020 0:01:51,
6.404128,-0.01814723,-25.26739,24.13,324.2653,0,34502,21/12/2020 0:01:51,
6.043813,-0.01786536,-23.15377,24.1298,9.265285,-7.01638E-07,34502,21/12/2020 0:01:51,
6.410262,-0.01703334,-20.90746,24.1298,9.265285,-7.016382E-07,34502,21/12/2020 0:01:52,
6.776175,-0.01620251,-18.66444,24.12979,9.265285,-1.637156E-06,34502,21/12/2020 0:01:52,
7.142167,-0.01537156,-16.42093,24.1298,9.265285,0,34502,21/12/2020 0:01:52,
7.508453,-0.0145399,-14.17563,24.1298,9.265285,-7.01638E-07,34502,21/12/2020 0:01:52,
7.874049,-0.01370978,-11.93455,24.1298,9.265285,-7.016382E-07,34502,21/12/2020 0:01:53,
8.240657,-0.01287746,-9.687271,24.1298,9.265285,1.169397E-06,34502,21/12/2020 0:01:53,
8.605919,-0.01204807,-7.44824,24.1298,9.265285,-7.016382E-07,34502,21/12/2020 0:01:53,
